Quarter,"Barley Domestic: 2 row feed, del. Sydney ",Barley Export: feed  b,Barley Export: malting  b,"Barley International: feed, fob Rouen  a"
2001-09-30,200.462,214.125,277.166,204.014
2001-12-31,193.615,212.658,286.802,203.111
2002-03-31,212.0,220.576,270.48,193.66
2002-06-30,204.923,196.193,258.936,169.609
2002-09-30,255.615,191.432,242.556,183.351
2002-12-31,333.929,216.691,249.133,199.295
2003-03-31,336.667,252.222,306.847,175.652
2003-06-30,291.615,216.889,288.894,166.234
2003-09-30,257.857,204.094,373.717,201.293
2003-12-31,184.769,206.504,225.124,227.772
2004-03-31,176.385,197.478,208.382,224.326
2004-06-30,190.923,209.65,239.341,201.282
2004-09-30,179.308,167.703,222.995,178.753
2004-12-31,163.538,142.508,204.496,168.353
2005-03-31,168.385,163.919,219.434,178.625
2005-06-30,206.615,167.326,226.139,161.753
2005-09-30,202.615,184.691,239.371,175.226
2005-12-31,170.667,177.824,231.805,178.714
2006-03-31,171.917,179.413,210.929,180.571
2006-06-30,183.308,172.296,209.302,175.988
2006-09-30,207.231,178.872,204.147,190.922
2006-12-31,328.667,212.736,244.414,247.824
2007-03-31,327.917,244.348,359.61,246.542
2007-06-30,319.846,250.245,314.609,242.038
2007-09-30,353.154,277.838,287.594,360.768
2007-12-31,372.917,308.791,410.415,387.996
2008-03-31,312.5,325.27,442.942,361.577
2008-06-30,347.538,344.275,435.059,313.463
2008-09-30,336.429,340.351,457.996,276.395
2008-12-31,241.615,262.469,595.716,238.878
2009-03-31,248.462,204.612,395.824,230.321
2009-06-30,241.769,215.55,318.807,208.024
2009-09-30,248.308,207.663,256.076,178.514
2009-12-31,217.083,177.914,222.931,170.461
2010-03-31,213.0,177.633,223.225,157.615
2010-06-30,201.538,177.57,214.604,155.123
2010-09-30,246.692,195.414,211.519,249.947
2010-12-31,231.25,267.627,271.02,268.949
2011-03-31,234.583,251.739,292.362,285.46
2011-06-30,238.231,260.185,299.351,264.552
2011-09-30,227.846,267.462,300.921,265.715
2011-12-31,205.333,274.116,322.804,253.268
2012-03-31,194.667,242.415,255.373,258.314
2012-06-30,203.692,251.305,275.375,269.006
2012-09-30,260.769,258.362,262.011,290.606
2012-12-31,282.5,274.94,301.201,302.464
2013-03-31,299.917,294.333,318.75,287.996
2013-06-30,292.231,300.242,318.518,274.563
2013-09-30,265.769,313.712,328.668,260.354
2013-12-31,242.333,261.684,327.092,270.921
2014-03-31,299.5,277.588,304.268,275.984
2014-06-30,315.885,264.739,285.528,251.744
2014-09-30,282.769,278.064,295.445,220.073
2014-12-31,282.92,298.932,326.392,249.714
2015-03-31,283.692,325.089,351.858,262.786
2015-06-30,286.154,326.724,372.9,251.832
2015-09-30,273.462,373.658,386.546,255.147
2015-12-31,250.417,272.561,329.159,251.272
2016-03-31,235.167,277.862,317.934,228.287
2016-06-30,226.846,247.849,291.587,220.695
2016-09-30,191.538,248.185,275.387,204.13
2016-12-31,183.167,232.343,267.002,205.248
2017-03-31,182.5,225.282,242.776,214.497
2017-06-30,208.923,224.823,261.092,218.866
2017-09-30,243.077,235.443,243.65,221.691
2017-12-31,251.75,273.993,262.815,240.854
2018-03-31,272.5,269.12,282.774,259.926
2018-06-30,328.308,298.792,304.065,274.657
2018-09-30,428.615,336.25,345.7,320.549
2018-12-31,452.75,353.137,365.497,331.083
2019-03-31,414.333,345.338,371.18,300.559
2019-06-30,389.769,341.838,427.06,273.374
2019-09-30,402.231,364.429,356.952,256.506
2019-12-31,374.286,319.119,384.687,274.812
2020-03-31,371.231,308.171,347.742,286.319
2020-06-30,339.615,336.051,366.72,279.069
2020-09-30,300.308,278.253,323.093,280.071
2020-12-31,257.308,267.49,319.047,327.168
2021-03-31,259.308,270.051,310.886,341.628
2021-06-30,269.769,283.197,321.98,343.58
2021-09-30,285.692,335.651,324.246,359.968
2021-12-31,291.692,348.724,386.27,414.971
2022-03-31,324.846,382.827,385.893,474.507
2022-06-30,431.385,392.957,414.172,568.345
2022-09-30,394.692,426.027,396.323,446.668
2022-12-31,405.083,484.037,441.957,483.263
2023-03-31,408.385,403.722,592.129,431.16
2023-06-30,385.0,401.809,545.039,370.302
2023-09-30,385.538,380.492,436.47,363.646
