Quarter,"Corn Domestic: feed, del. Sydney.3","Corn International: US No.2 yellow corn, fob Gulf  a "
1996-03-31,239.167,218.4
1996-06-30,227.057,253.334
1996-09-30,236.11,209.303
1996-12-31,199.333,154.057
1997-03-31,200.0,158.999
1997-06-30,195.0,156.359
1997-09-30,224.833,153.153
1997-12-31,222.667,170.286
1998-03-31,222.25,171.743
1998-06-30,192.25,168.427
1998-09-30,171.9,152.817
1998-12-31,173.95,153.089
1999-03-31,179.167,152.845
1999-06-30,168.182,145.263
1999-09-30,153.846,132.17
1999-12-31,154.231,133.644
2000-03-31,165.545,151.218
2000-06-30,172.167,155.569
2000-09-30,179.385,134.306
2000-12-31,189.167,167.445
2001-03-31,187.083,176.848
2001-06-30,190.615,166.744
2001-09-30,204.846,177.544
2001-12-31,217.417,174.997
2002-03-31,236.167,175.85
2002-06-30,238.769,163.744
2002-09-30,290.308,196.615
2002-12-31,374.75,194.639
2003-03-31,389.583,178.238
2003-06-30,309.615,166.627
2003-09-30,287.5,152.751
2003-12-31,249.091,151.036
2004-03-31,241.923,160.739
2004-06-30,236.923,180.217
2004-09-30,243.462,144.132
2004-12-31,225.455,124.697
2005-03-31,206.364,124.787
2005-06-30,232.692,125.795
2005-09-30,220.769,133.254
2005-12-31,207.308,134.836
2006-03-31,200.0,142.048
2006-06-30,221.923,146.701
2006-09-30,228.462,154.197
2006-12-31,335.455,201.661
2007-03-31,387.083,217.604
2007-06-30,398.769,192.333
2007-09-30,423.846,180.092
2007-12-31,450.833,192.524
2008-03-31,400.0,243.407
2008-06-30,412.308,274.708
2008-09-30,408.571,277.238
2008-12-31,352.5,250.906
2009-03-31,316.25,252.027
2009-06-30,329.091,232.02
2009-09-30,333.214,182.638
2009-12-31,308.333,185.075
2010-03-31,297.917,180.064
2010-06-30,312.154,178.758
2010-09-30,335.385,202.021
2010-12-31,335.0,244.807
2011-03-31,353.75,281.94
2011-06-30,324.545,293.848
2011-09-30,319.231,288.362
2011-12-31,306.235,266.536
2012-03-31,296.273,264.216
2012-06-30,291.75,268.715
2012-09-30,301.0,318.511
2012-12-31,330.455,306.867
2013-03-31,340.833,294.621
2013-06-30,356.154,295.798
2013-09-30,369.615,269.745
2013-12-31,382.917,215.295
2014-03-31,409.583,234.914
2014-06-30,402.5,230.085
2014-09-30,386.364,188.796
2014-12-31,374.583,202.746
2015-03-31,370.0,222.358
2015-06-30,386.769,217.004
2015-09-30,390.714,234.481
2015-12-31,377.455,233.071
2016-03-31,351.0,222.338
2016-06-30,366.462,230.711
2016-09-30,367.0,203.843
2016-12-31,346.091,204.02
2017-03-31,360.333,212.69
2017-06-30,351.615,211.344
2017-09-30,375.333,193.059
2017-12-31,381.583,194.803
2018-03-31,387.364,209.944
2018-06-30,400.333,229.771
2018-09-30,427.727,217.403
2018-12-31,447.308,227.624
2019-03-31,519.615,237.439
2019-06-30,487.692,250.3
2019-09-30,480.0,248.714
2019-12-31,488.846,244.235
2020-03-31,520.0,254.177
2020-06-30,511.154,222.817
2020-09-30,416.154,218.676
2020-12-31,384.231,262.859
2021-03-31,373.077,312.839
2021-06-30,357.308,374.143
2021-09-30,349.615,355.776
2021-12-31,380.0,345.271
2022-03-31,371.615,416.871
2022-06-30,403.154,479.158
2022-09-30,417.5,445.126
2022-12-31,439.231,490.276
2023-03-31,512.5,431.832
2023-06-30,513.846,410.95
2023-09-30,533.077,339.196
