Year,Production,Apparent domestic use,seed,other ,Export 
1990-01-01,1235.935,899.981,1.881,898.1,322.75
1991-01-01,938.505,918.988,1.878,917.11,27.699
1992-01-01,746.761,678.062,2.836,675.226,225.877
1993-01-01,1443.341,1168.464,2.131,1166.333,289.078
1994-01-01,546.063,256.98,2.492,254.487,37.385
1995-01-01,1081.509,1036.316,3.43,1032.886,267.333
1996-01-01,1272.207,1222.471,3.847,1218.624,61.122
1997-01-01,1592.175,1274.355,2.719,1271.636,598.594
1998-01-01,1424.776,927.399,2.532,924.867,230.668
1999-01-01,1080.766,958.161,2.924,955.236,149.5
2000-01-01,1886.894,1705.809,3.109,1702.7,28.913
2001-01-01,2113.855,2003.787,3.787,2000.0,97.927
2002-01-01,1934.271,1637.2,4.101,1633.099,501.453
2003-01-01,2018.556,1803.333,3.333,1800.0,374.855
2004-01-01,1464.23,1403.669,3.669,1400.0,64.383
2005-01-01,2008.703,1303.774,3.774,1300.0,623.472
2006-01-01,2010.274,1603.83,3.83,1600.0,258.638
2007-01-01,1931.053,1764.807,3.065,1761.742,83.282
2008-01-01,1282.092,1304.706,4.706,1300.0,110.187
2009-01-01,3789.931,2803.834,3.834,2800.0,957.279
2010-01-01,2691.39,1702.49,2.49,1700.0,997.879
2011-01-01,1507.635,1203.165,3.165,1200.0,340.932
2012-01-01,1934.51,1003.291,3.291,1000.0,950.384
2013-01-01,2234.912,1103.233,3.233,1100.0,1179.225
2014-01-01,2229.0,1052.66,2.66,1050.0,1145.984
2015-01-01,1282.326,853.663,3.663,850.0,397.132
2016-01-01,2210.235,602.603,2.603,600.0,1638.012
2017-01-01,1790.828,901.839,1.839,900.0,912.804
2018-01-01,994.338,702.311,2.311,700.0,277.269
2019-01-01,1257.219,702.751,2.751,700.0,440.926
2020-01-01,1160.71,1001.021,1.021,1000.0,101.166
2021-01-01,397.993,152.863,2.863,150.0,256.033
2022-01-01,1638.962,103.108,3.108,100.0,1702.373
2023-01-01,2648.069,248.361,3.361,245.0,2196.276
