Quarter,"Oilseeds Domestic: canola, del. Melbourne","Oilseeds International: Europe rapeseed, cif Hamburg a","Oilseeds International: US soybeans, fob Gulf a"
2013-12-31,514.0,550.587,567.945
2014-03-31,548.308,601.813,604.38
2014-06-30,514.462,580.923,615.748
2014-09-30,468.0,461.466,504.924
2014-12-31,470.538,489.559,492.778
2015-03-31,492.154,516.542,504.657
2015-06-30,505.923,548.632,496.87
2015-09-30,539.385,570.829,524.259
2015-12-31,553.385,576.169,492.173
2016-03-31,535.231,547.936,482.524
2016-06-30,536.462,556.691,547.301
2016-09-30,508.0,543.668,543.987
2016-12-31,534.833,577.81,520.961
2017-03-31,534.167,586.37,518.117
2017-06-30,522.692,562.78,480.681
2017-09-30,533.308,539.238,478.756
2017-12-31,547.5,560.892,489.697
2018-03-31,503.333,541.806,496.645
2018-06-30,525.846,543.914,521.344
2018-09-30,570.923,587.845,448.024
2018-12-31,609.929,596.295,462.738
2019-03-31,582.583,587.537,489.704
2019-06-30,556.462,589.644,483.373
2019-09-30,559.857,613.247,498.213
2019-12-31,614.385,637.229,524.252
2020-03-31,634.231,662.734,535.133
2020-06-30,653.692,628.194,518.863
2020-09-30,601.462,626.875,535.248
2020-12-31,599.692,661.264,642.533
2021-03-31,618.846,1153.153,702.662
2021-06-30,701.462,1247.196,752.352
2021-09-30,829.692,902.95,740.179
2021-12-31,901.231,1096.402,692.99
2022-03-31,873.231,1230.605,861.5
2022-06-30,989.944,1343.326,935.164
2022-09-30,768.462,932.3,903.613
2022-12-31,783.583,941.691,915.736
2023-03-31,710.923,831.582,873.377
2023-06-30,624.583,710.184,831.608
2023-09-30,698.308,758.876,850.002
