Year,Production,Apparent domestic use,seed,other ,Export 
1990-01-01,164.372,164.372,4.45,159.922,0.0
1991-01-01,188.577,188.577,5.051,183.526,0.0
1992-01-01,177.342,177.342,6.1,171.242,0.0
1993-01-01,282.477,282.477,6.462,276.015,0.0
1994-01-01,262.815,262.815,7.671,255.143,0.0
1995-01-01,181.581,181.581,11.055,170.526,0.0
1996-01-01,468.513,468.513,17.314,451.199,0.0
1997-01-01,673.774,673.774,18.318,655.456,0.0
1998-01-01,632.485,632.485,19.292,613.193,0.0
1999-01-01,706.852,706.852,17.902,688.95,0.0
2000-01-01,764.08,764.08,19.471,744.609,0.0
2001-01-01,841.049,841.049,20.443,820.606,0.0
2002-01-01,859.651,859.651,20.378,839.272,0.0
2003-01-01,326.959,326.959,22.274,304.685,0.0
2004-01-01,825.861,825.861,19.465,806.396,0.0
2005-01-01,610.056,610.056,19.589,590.467,0.0
2006-01-01,829.757,829.757,18.426,811.331,0.0
2007-01-01,199.254,199.254,17.986,181.268,0.0
2008-01-01,450.0,450.0,16.138,433.862,0.0
2009-01-01,362.817,362.817,17.486,345.331,0.0
2010-01-01,545.0,545.0,9.36,535.64,0.0
2011-01-01,355.078,355.078,7.228,347.85,0.0
2012-01-01,284.614,284.604,4.959,279.645,0.01
2013-01-01,171.211,171.181,3.994,167.187,0.03
2014-01-01,125.641,125.593,4.076,121.518,0.048
2015-01-01,143.043,143.038,3.92,139.118,0.005
2016-01-01,127.393,126.249,3.079,123.17,1.144
2017-01-01,149.949,149.643,2.774,146.869,0.305
2018-01-01,86.958,86.886,2.42,84.466,0.057
2019-01-01,59.461,59.461,3.553,55.908,0.005
2020-01-01,76.857,76.503,3.606,72.897,0.354
2021-01-01,170.812,126.297,3.096,123.202,0.02
2022-01-01,117.167,117.07,2.85,114.22,0.097
2023-01-01,113.707,113.772,2.85,110.922,0.061
