Quarter,"Wheat Domestic: feed, del. Sydney","Wheat International: US No.2 hard red winter, fob Gulf  a"
1995-03-31,240.05,204.895
1995-06-30,244.7,219.031
1995-09-30,245.083,239.397
1995-12-31,217.083,279.106
1996-03-31,228.567,284.715
1996-06-30,259.533,312.663
1996-09-30,227.4,243.121
1996-12-31,164.417,225.119
1997-03-31,169.083,224.896
1997-06-30,185.15,218.736
1997-09-30,195.4,203.851
1997-12-31,188.917,217.111
1998-03-31,181.317,209.0
1998-06-30,173.367,202.602
1998-09-30,150.983,190.702
1998-12-31,157.55,202.024
1999-03-31,156.033,191.578
1999-06-30,159.967,175.453
1999-09-30,156.333,178.799
1999-12-31,148.85,170.936
2000-03-31,150.533,178.113
2000-06-30,158.233,196.301
2000-09-30,161.0,205.268
2000-12-31,159.567,245.803
2001-03-31,163.367,249.717
2001-06-30,179.7,257.699
2001-09-30,200.25,246.518
2001-12-31,203.833,247.712
2002-03-31,222.917,245.151
2002-06-30,221.417,232.203
2002-09-30,278.533,308.303
2002-12-31,349.15,323.821
2003-03-31,325.417,255.104
2003-06-30,287.633,220.33
2003-09-30,236.5,222.85
2003-12-31,208.983,227.116
2004-03-31,209.133,220.083
2004-06-30,226.9,231.214
2004-09-30,206.217,213.405
2004-12-31,190.083,209.911
2005-03-31,172.617,200.431
2005-06-30,205.75,193.051
2005-09-30,199.15,208.067
2005-12-31,181.767,228.116
2006-03-31,185.583,240.969
2006-06-30,202.783,263.061
2006-09-30,229.417,272.823
2006-12-31,318.667,282.938
2007-03-31,310.917,264.94
2007-06-30,293.25,258.89
2007-09-30,345.167,342.819
2007-12-31,443.0,400.765
2008-03-31,470.0,477.134
2008-06-30,441.833,386.961
2008-09-30,419.25,373.388
2008-12-31,278.0,365.12
2009-03-31,267.933,371.425
2009-06-30,275.833,340.031
2009-09-30,262.0,259.574
2009-12-31,234.167,241.676
2010-03-31,232.556,230.149
2010-06-30,215.367,217.087
2010-09-30,276.217,293.262
2010-12-31,271.194,308.077
2011-03-31,248.111,345.655
2011-06-30,257.0,331.17
2011-09-30,243.317,307.799
2011-12-31,219.061,291.391
2012-03-31,211.417,280.762
2012-06-30,227.617,279.431
2012-09-30,298.167,350.891
2012-12-31,306.867,354.699
2013-03-31,314.417,320.695
2013-06-30,309.0,326.519
2013-09-30,293.4,341.428
2013-12-31,300.917,341.011
2014-03-31,317.167,343.61
2014-06-30,326.75,355.612
2014-09-30,286.981,308.233
2014-12-31,294.981,333.769
2015-03-31,300.117,322.6
2015-06-30,297.017,304.454
2015-09-30,295.5,309.184
2015-12-31,287.75,297.831
2016-03-31,271.133,288.286
2016-06-30,264.817,265.075
2016-09-30,241.067,249.025
2016-12-31,237.572,252.961
2017-03-31,208.75,268.21
2017-06-30,230.5,273.853
2017-09-30,260.617,276.599
2017-12-31,262.889,283.271
2018-03-31,293.833,303.312
2018-06-30,347.7,322.2
2018-09-30,425.983,332.465
2018-12-31,451.061,330.603
2019-03-31,434.833,326.652
2019-06-30,402.433,310.72
2019-09-30,401.8,303.398
2019-12-31,414.55,319.849
2020-03-31,443.0,349.757
2020-06-30,423.0,340.961
2020-09-30,371.0,323.105
2020-12-31,334.317,371.974
2021-03-31,303.95,367.391
2021-06-30,313.75,372.649
2021-09-30,345.7,415.836
2021-12-31,357.833,508.573
2022-03-31,342.167,575.667
2022-06-30,447.267,688.196
2022-09-30,406.0,577.762
2022-12-31,441.417,633.907
2023-03-31,436.85,556.729
2023-06-30,412.75,543.437
2023-09-30,424.133,495.701
