,Year,Wheat_Area,Wheat_Production,Barley_Area,Barley_Production,Canola_Area,Canola_Production,Chickpeas_Area,Chickpeas_Production,Faba beans_Area,Faba beans_Production,Field peas_Area,Field peas_Production,Lentils_Area,Lentils_Production,Lupins_Area,Lupins_Production,Oats_Area,Oats_Production,Triticale_Area,Triticale_Production
0,1990-01-01,9003.8,14214.6,2309.897,4044.146,49.736,78.157,93.079,109.368,44.555,57.9,326.332,388.023,30.03,27.005,801.457,772.018,1088.7,1640.3,91.341,164.372
1,1991-01-01,9218.2,15066.1,2555.651,4107.832,72.885,98.4,178.121,191.668,43.9,53.1,318.035,318.068,0.154,0.183,792.561,757.67,1043.6,1529.8,103.96,188.577
2,1992-01-01,7183.0,10557.3,2744.241,4529.678,150.665,170.448,249.672,221.859,58.108,64.4,426.534,472.571,0.293,0.474,938.546,1047.363,1160.1,1689.8,101.02,177.342
3,1993-01-01,8274.7,14738.7,2947.179,5396.758,107.109,177.902,151.802,176.938,82.0,99.0,382.338,456.311,0.479,0.52,1032.473,1194.983,1149.1,1936.4,122.0,282.477
4,1994-01-01,8383.1,16479.2,3424.468,6668.234,176.532,305.02,146.837,193.108,93.736,148.827,399.832,558.453,0.98,1.244,1150.446,1479.652,947.336,1646.499,129.235,262.815
5,1995-01-01,7890.6,8961.4,2470.49,2913.189,356.234,263.892,208.854,68.893,100.609,67.19,460.58,240.407,5.203,2.02,1407.066,1076.215,896.569,924.075,153.424,181.581
6,1996-01-01,9220.8,16503.9,3110.588,5822.684,376.558,557.054,216.415,286.909,80.369,127.71,381.617,529.919,6.503,15.5,1322.821,1558.995,1136.234,1874.808,221.097,468.513
7,1997-01-01,10935.5,22924.2,3365.806,6694.804,407.456,623.239,241.45,287.721,96.937,170.652,336.678,454.615,13.763,28.347,1259.181,1521.861,1051.683,1652.797,346.283,673.774
8,1998-01-01,10440.6,19226.7,3520.909,6481.669,697.491,855.36,273.043,198.629,154.784,162.706,366.932,315.344,41.99,31.458,1424.671,1560.272,936.625,1634.284,366.361,632.485
9,1999-01-01,11542.6,21464.8,3167.301,5987.241,1247.208,1690.458,308.505,187.587,135.314,194.346,369.411,370.282,66.17,38.699,1406.21,1694.872,908.853,1798.226,385.838,706.852
