Year,Unit,New South Wales,Victoria,Queensland,South Australia,Western Australia,Australia
1990-01-01,kt,4841.223,3343.008,1829.027,4859.54,6606.416,21518.534
1991-01-01,kt,5826.706,2712.227,2486.538,3901.414,7346.772,22325.977
1992-01-01,kt,3909.599,2814.517,461.502,4534.015,7183.333,18962.288
1993-01-01,kt,5950.707,4120.684,1053.865,4797.718,8499.538,24487.185
1994-01-01,kt,7619.149,4479.907,834.394,4923.156,9872.962,27796.784
1995-01-01,kt,1528.143,1863.646,311.546,3044.445,7924.331,14719.274
1996-01-01,kt,6961.863,4500.51,745.907,5263.461,10244.394,27785.136
1997-01-01,kt,11286.144,4590.51,2468.14,5456.971,11192.607,35060.019
1998-01-01,kt,8557.372,3397.664,1639.374,5457.808,11994.754,31112.569
1999-01-01,kt,9717.859,3507.415,2323.341,6303.985,12232.647,34159.264
2000-01-01,kt,11525.912,5252.253,2221.165,4769.642,13312.051,37141.718
2001-01-01,kt,10829.162,6265.925,1338.758,7428.511,8724.138,34662.351
2002-01-01,kt,11169.933,5892.555,1156.408,8796.13,12042.351,39132.959
2003-01-01,kt,3484.555,1943.314,829.138,4222.664,6811.822,17359.461
2004-01-01,kt,10795.045,6961.477,1450.064,7359.142,16676.2,43313.331
2005-01-01,kt,10712.18,4214.428,1391.211,5297.508,12977.798,34670.877
2006-01-01,kt,11981.269,6266.823,1433.413,7517.847,13944.647,41226.046
2007-01-01,kt,3794.097,1747.9,924.215,2793.121,8278.145,17580.385
2008-01-01,kt,3999.205,4691.657,1194.122,4705.722,10760.504,25415.201
2009-01-01,kt,9438.381,3887.356,2325.569,4863.38,13784.557,34377.266
2010-01-01,kt,7786.963,5889.084,1616.867,7035.461,12943.035,35343.283
2011-01-01,kt,14783.65,7625.202,1820.613,9316.126,8044.142,41672.012
2012-01-01,kt,11952.068,7351.99,2328.7,7371.481,16600.456,45672.773
2013-01-01,kt,11123.416,6885.595,2156.003,6469.726,11243.76,37936.026
2014-01-01,kt,9772.994,6774.044,1516.17,7221.299,16510.983,41880.733
2015-01-01,kt,10444.88,5116.605,1463.68,7438.603,14662.329,39197.548
2016-01-01,kt,11623.645,3567.704,2103.724,6103.567,14206.024,37686.737
2017-01-01,kt,15510.259,9511.384,3159.24,10655.762,17737.342,56675.335
2018-01-01,kt,7743.001,7612.277,1437.898,7022.001,14510.294,38395.55
2019-01-01,kt,3243.472,4603.224,685.581,5486.945,17632.799,31736.71
2020-01-01,kt,3194.948,8334.363,694.754,5533.155,12172.222,30002.894
2021-01-01,kt,20332.159,9911.828,2392.115,7837.139,16500.136,57075.422
2022-01-01,kt,18896.966,8879.372,3486.0,8408.374,23440.231,63221.504
2023-01-01,kt,15470.16,11051.91,3359.712,12636.6,26261.7,68938.873
2024-01-01,kt,10331.597,9610.158,1749.725,8699.882,15536.2,46072.169
