Year,Production,Apparent domestic use,Exports
1990-01-01,109.368,1.0,121.479
1991-01-01,191.668,76.556,115.238
1992-01-01,221.859,45.16,176.811
1993-01-01,176.938,9.224,167.848
1994-01-01,193.108,1.0,194.94
1995-01-01,68.893,31.448,37.552
1996-01-01,286.909,127.706,159.418
1997-01-01,287.721,1.0,382.878
1998-01-01,198.629,11.666,187.054
1999-01-01,187.587,55.178,132.454
2000-01-01,230.007,1.0,245.011
2001-01-01,162.492,1.0,174.576
2002-01-01,273.439,2.554,270.998
2003-01-01,128.738,14.668,114.142
2004-01-01,198.854,22.604,176.323
2005-01-01,135.215,1.0,150.794
2006-01-01,149.682,1.0,183.214
2007-01-01,229.202,11.01,218.409
2008-01-01,312.95,87.475,225.759
2009-01-01,442.543,1.0,508.133
2010-01-01,487.046,1.0,502.826
2011-01-01,513.388,39.242,474.357
2012-01-01,673.372,92.894,580.631
2013-01-01,813.3,1.0,853.121
2014-01-01,629.4,0.211,629.325
2015-01-01,555.4,1.0,662.782
2016-01-01,874.593,1.0,1145.14
2017-01-01,2004.0,1.0,2293.365
2018-01-01,998.231,1.0,723.776
2019-01-01,205.13,1.0,371.321
2020-01-01,235.165,1.0,349.325
2021-01-01,876.468,1.0,878.826
2022-01-01,1062.25,1.0,593.802
2023-01-01,541.0,1.0,731.602
