Winter Crop,New South Wales_Area,New South Wales_Prod,Victoria_Area,Victoria_Prod,Queensland_Area,Queensland_Prod,South Australia_Area,South Australia_Prod,Western Australia_Area,Western Australia_Prod,Tasmania_Area,Tasmania_Prod
Wheat ,,,,,,,,,,,,
2017–18,2793.456,4702.842,1446.793,3682.083,639.189,765.413,1975.81,4051.954,4056.574,7698.552,7.358,40.289
2018–19,2381.953,1850.335,1402.863,2276.598,419.697,419.675,1820.819,3024.524,4369.2,9979.22,7.6,40.1
2019–20,2132.016,1772.365,1428.857,3714.313,441.477,418.475,1720.943,2689.074,4132.709,5842.187,7.182,43.805
2020–21,4037.001,12972.151,1413.422,4525.002,966.132,1594.192,1830.975,3982.208,4387.514,8792.706,8.173,56.295
2021–22,3607.705,12029.415,1444.578,4246.433,940.597,2222.389,2008.064,4750.113,4718.004,12919.145,9.303,69.983
2022–23 s,3600.0,10620.0,1500.0,5392.92,980.0,2600.0,2200.0,7350.0,4750.0,14500.0,15.0,82.5
2023-24 f,3300.0,6600.0,1540.396,4618.871,800.0,1100.0,2200.0,4900.0,4650.0,8150.0,12.0,85.0
Five–year average to 2022–23,3151.735,7848.853,1437.944,4031.053,749.58,1450.946,1916.16,4359.184,4471.485,10406.652,9.451,58.537
Barley,,,,,,,,,,,,
2017–18,763.47,1304.643,843.675,2109.687,104.89,187.84,876.488,1860.785,1531.074,3774.555,4.552,16.319
2018–19,667.931,909.089,892.809,1337.317,99.476,132.008,872.908,1614.987,1897.361,4798.004,6.102,27.54
2019–20,885.403,916.3,1101.69,3116.609,80.482,80.075,1061.346,1995.135,1906.858,3996.15,5.123,22.906
2020–21,1370.935,4257.988,1011.883,2918.48,227.397,434.362,1030.847,2395.385,1844.27,4611.219,5.423,30.84
2021–22,1158.588,3561.719,870.238,2270.503,207.315,617.25,969.847,2145.56,1884.241,5758.301,4.297,23.951
2022–23 s,780.0,2277.6,820.0,2895.703,136.0,403.0,830.0,2900.0,1550.0,5600.0,11.0,60.5
2023-24 f,800.0,1745.0,830.0,2593.006,150.0,280.0,800.0,2100.0,1600.0,4000.0,7.0,50.0
Five–year average to 2022–23,972.571,2384.539,939.324,2507.723,150.134,333.339,952.99,2210.214,1816.546,4952.735,6.389,33.147
Canola,,,,,,,,,,,,
2017–18,860.012,892.699,541.926,937.959,0.67,0.25,236.511,335.052,1530.626,1723.59,1.374,3.519
2018–19,404.985,263.035,414.43,510.735,1.161,0.348,168.918,242.89,1129.414,1346.145,0.928,2.686
2019–20,327.076,206.199,404.643,731.091,0.86,0.938,152.627,241.479,1148.202,1117.074,0.648,1.748
2020–21,731.0,1532.184,493.863,1127.092,1.336,1.189,202.688,402.273,1183.635,1689.347,1.324,4.303
2021–22,940.71,2114.144,569.135,1302.84,2.349,4.728,221.901,434.934,1512.566,2953.842,3.601,9.799
2022–23 s,900.0,1800.0,600.0,1382.506,5.0,10.0,290.0,770.0,2100.0,4300.0,5.0,10.0
2023-24 f,840.0,1305.0,550.0,1202.081,4.0,4.0,290.0,510.0,1800.0,2500.0,3.0,2.0
Five–year average to 2022–23,660.754,1183.113,496.414,1010.853,2.141,3.441,207.227,418.315,1414.763,2281.282,2.3,5.707
Oats,,,,,,,,,,,,
2017–18,365.955,229.353,97.126,188.467,44.87,12.38,57.088,93.916,306.385,697.234,2.714,6.036
2018–19,334.466,126.262,134.213,165.344,35.889,10.624,115.379,140.275,315.929,687.05,2.254,5.063
2019–20,264.454,183.159,108.271,197.027,50.1,24.99,92.239,91.794,298.52,643.167,2.371,2.797
2020–21,393.583,644.979,131.074,334.292,63.106,60.976,99.866,161.43,379.412,688.251,2.404,7.221
2021–22,248.05,344.449,93.372,233.846,50.278,66.892,79.111,145.667,369.635,937.443,1.948,6.577
2022–23 s,240.0,324.0,120.0,240.0,18.0,18.987,75.0,200.0,290.0,800.0,2.0,4.452
2023-24 f,255.0,270.0,120.0,220.0,25.0,20.0,65.0,130.0,220.0,420.0,2.69,6.132
Five–year average to 2022–23,296.111,324.57,117.386,234.102,43.474,36.494,92.319,147.833,330.699,751.182,2.195,5.222
Summer crops,,,,,,,,,,,,
Grain sorghum,,,,,,,,,,,,
2017–18,108.34,279.023,0.909,2.45,352.373,974.481,0.001,0.003,0.568,1.262,0.0,0.0
2018–19,152.258,222.089,1.978,2.616,393.572,926.27,0.0,0.0,2.354,9.211,0.0,0.0
2019–20,44.36,78.88,0.369,3.644,159.035,313.206,0.0,0.0,0.348,1.756,0.0,0.0
2020–21,146.016,554.179,0.925,5.279,422.49,1071.74,0.719,1.438,1.838,2.61,0.0,0.0
2021–22,191.772,925.696,0.493,2.296,427.576,1717.177,0.035,0.0,1.628,2.901,0.0,0.0
2022–23 s,195.0,819.0,1.0,2.0,490.0,1813.0,0.0,0.0,1.002,3.368,0.0,0.0
2023-24 f,130.0,403.0,0.7,2.6,385.0,1050.0,0.0,0.0,1.146,3.1,0.0,0.0
Five–year average to 2022–23,145.881,519.969,0.953,3.167,378.535,1168.279,0.151,0.288,1.434,3.969,0.0,0.0
Cottonseed a,,,,,,,,,,,,
2017–18,350.5,845.657,0.0,0.0,175.14,366.7,0.0,0.0,0.0,0.0,0.0,0.0
2018–19,250.4,380.812,0.0,0.0,128.91,193.952,0.0,0.0,0.0,0.0,0.0,0.0
